"Pos","Race_No","Name","Time","Category","Cat_Pos","Gender","Gen_Pos","Swim","T1","Cycle","T2","Run"
1,198,"Matthew Guenter",7356,"Elite",1,"Male",1,1076,47,3862,56,2313
2,461,"Sam Teller",7489,"Elite",2,"Male",2,1246,52,4036,47,2106
3,456,"Todd Suttor",7563,"Elite",3,"Male",3,1154,47,3905,42,2414
4,227,"Tim Hola",7878,"45-49",1,"Male",4,1244,60,4070,54,2448
5,467,"Scott Tonder",7928,"35-39",1,"Male",5,1277,73,4158,59,2359
6,185,"Thomas Gordon",8029,"25-29",1,"Male",6,1110,137,4293,143,2343
7,277,"Drew Kroeker",8078,"Elite",4,"Male",7,1176,47,4145,36,2672
8,386,"John Rauen",8086,"Elite",5,"Male",8,1492,81,3997,34,2481
9,411,"Joshua Schaidle",8093,"35-39",2,"Male",9,1383,69,4143,47,2449
10,347,"Edward O'malley",8192,"Elite",6,"Male",10,1400,81,4093,58,2558
11,157,"Brian Folts",8219,"Elite",7,"Male",11,1380,68,4210,72,2486
12,400,"Todd Robinson",8299,"45-49",2,"Male",12,1358,32,4393,71,2444
13,559,"Taylor Ames",8301,"35-39",3,"Male",13,1375,73,4295,63,2492
14,305,"Mark Maguire",8314,"30-34",1,"Male",14,1266,85,4415,68,2479
15,291,"Dave Leveque",8351,"35-39",4,"Male",15,1380,57,4265,44,2602
16,441,"Colton Sorrells",8410,"20-24",1,"Male",16,1537,80,4148,55,2588
17,523,"Scott Yamada",8437,"40-44",1,"Male",17,1371,62,4246,48,2707
18,327,"Matheus Menezes",8536,"20-24",2,"Male",18,1253,54,4499,59,2670
19,58,"Jason Brown",8556,"35-39",5,"Male",19,1524,84,4248,68,2630
20,379,"Charles Prevoteau",8629,"30-34",2,"Male",20,1655,78,4395,99,2400
21,301,"Miles Mackenzie",8635,"25-29",2,"Male",21,1225,85,4350,41,2933
22,144,"John Estes",8698,"35-39",6,"Male",22,1463,70,4344,65,2754
23,550,"Eric Gutknecht",8735,"50-54",1,"Male",23,1587,98,4254,81,2713
